2026-04-22 12:01:23,584 | INFO | Cycle start
2026-04-22 12:01:23,598 | INFO | Regime: BULL
2026-04-22 12:01:23,598 | INFO | Spot: 22500
2026-04-22 12:01:23,598 | INFO | MTM PnL: 0
2026-04-22 12:01:23,598 | INFO | PnL Summary: {'realized': 0, 'unrealized': 0, 'total': 0, 'open_positions': 1}
2026-04-22 12:01:23,598 | INFO | Greeks: {'delta': -0.05, 'gamma': 0.0001, 'theta': -0.01, 'vega': 0.05}
2026-04-22 12:01:53,607 | INFO | Cycle start
2026-04-22 12:01:53,849 | INFO | Regime: BULL
2026-04-22 12:01:53,851 | INFO | Spot: 22500
2026-04-22 12:01:53,852 | INFO | MTM PnL: 0
2026-04-22 12:01:53,852 | INFO | PnL Summary: {'realized': 0, 'unrealized': 0, 'total': 0, 'open_positions': 1}
2026-04-22 12:01:53,852 | INFO | Greeks: {'delta': -0.05, 'gamma': 0.0001, 'theta': -0.01, 'vega': 0.05}
2026-04-22 12:02:03,342 | INFO | Bot stopped
2026-04-22 12:03:31,081 | INFO | Bot started
2026-04-22 12:03:59,335 | INFO | Cycle start
2026-04-22 12:04:00,834 | INFO | Regime: BULL
2026-04-22 12:04:00,834 | INFO | Spot: 22500
2026-04-22 12:04:00,836 | INFO | MTM PnL: 0
2026-04-22 12:04:00,836 | INFO | PnL Summary: {'realized': 0, 'unrealized': 0, 'total': 0, 'open_positions': 0}
2026-04-22 12:04:00,836 | INFO | Greeks: {'delta': -0.05, 'gamma': 0.0001, 'theta': -0.01, 'vega': 0.05}
2026-04-22 12:04:00,836 | INFO | Executing BULL_PUT
2026-04-22 12:04:00,836 | INFO | Trade executed: BULL_PUT
2026-04-22 12:04:00,838 | INFO | Cycle complete

2026-04-22 12:04:30,849 | INFO | Cycle start
2026-04-22 12:04:30,867 | INFO | Regime: BULL
2026-04-22 12:04:30,868 | INFO | Spot: 22500
2026-04-22 12:04:30,868 | INFO | MTM PnL: -23.160000000000004
2026-04-22 12:04:30,868 | INFO | PnL Summary: {'realized': 0, 'unrealized': -23.160000000000004, 'total': -23.160000000000004, 'open_positions': 1}
2026-04-22 12:04:30,869 | INFO | Greeks: {'delta': -0.05, 'gamma': 0.0001, 'theta': -0.01, 'vega': 0.05}
2026-04-22 12:05:00,886 | INFO | Cycle start
2026-04-22 12:05:01,219 | INFO | Regime: BEAR
2026-04-22 12:05:01,222 | INFO | Spot: 22500
2026-04-22 12:05:01,222 | INFO | MTM PnL: -25.15
